code,name,industry,area,Lastdate
603568,伟明环保,环境保护,浙江,2016-12-09
603918,金桥信息,软件服务,上海,2016-12-09
603919,金徽酒,白酒,甘肃,2016-12-09
603936,博敏电子,元器件,广东,2016-12-09
603939,益丰药房,医药商业,湖南,2016-12-09
300208,恒顺众昇,电气设备,山东,2016-12-09
603968,醋化股份,化工原料,江苏,2016-12-09
603567,珍宝岛,中成药,黑龙江,2016-12-09
603566,普莱柯,生物制药,河南,2016-12-09
603969,银龙股份,其他建材,天津,2016-12-09
603600,永艺股份,家居用品,浙江,2016-12-09
603828,柯利达,装修装饰,江苏,2016-12-09
603601,再升科技,玻璃,重庆,2016-12-09
603818,曲美家居,家居用品,北京,2016-12-09
603678,火炬电子,元器件,福建,2016-12-09
603618,杭电股份,电气设备,浙江,2016-12-09
603686,龙马环卫,专用机械,福建,2016-12-09
603688,石英股份,矿物制品,江苏,2016-12-09
603696,安记食品,食品,福建,2016-12-09
603616,韩建河山,其他建材,北京,2016-12-09
603698,航天工程,专用机械,北京,2016-12-09
603611,诺力股份,运输设备,浙江,2016-12-09
603703,盛洋科技,电气设备,浙江,2016-12-09
603609,禾丰牧业,饲料,辽宁,2016-12-09
603718,海利生物,生物制药,上海,2016-12-09
603669,灵康药业,化学制药,西藏,2016-12-09
603729,龙韵股份,广告包装,上海,2016-12-09
603778,乾景园林,建筑施工,北京,2016-12-09
603788,宁波高发,汽车配件,浙江,2016-12-09
603789,星光农机,农用机械,浙江,2016-12-09
603998,方盛制药,中成药,湖南,2016-12-09
603608,天创时尚,服饰,广东,2016-12-09
603798,康普顿,石油加工,山东,2016-12-09
603799,华友钴业,小金属,浙江,2016-12-09
603606,东方电缆,电气设备,浙江,2016-12-09
603800,道森股份,专用机械,江苏,2016-12-09
603806,福斯特,塑料,浙江,2016-12-09
603808,歌力思,服饰,深圳,2016-12-09
603766,隆鑫通用,摩托车,重庆,2016-12-09
603988,中电电机,电气设备,江苏,2016-12-09
603979,金诚信,建筑施工,北京,2016-12-09
603989,艾华集团,元器件,湖南,2016-12-09
603309,维力医疗,医疗保健,广东,2016-12-09
603555,贵人鸟,服饰,福建,2016-12-09
603300,华铁科技,钢加工,浙江,2016-12-09
603299,井神股份,化工原料,江苏,2016-12-09
603288,海天味业,食品,广东,2016-12-09
603268,松发股份,陶瓷,广东,2016-12-09
603227,雪峰科技,化工原料,新疆,2016-12-09
603223,恒通股份,公路,山东,2016-12-09
603222,济民制药,化学制药,浙江,2016-12-09
603311,金海环境,专用机械,浙江,2016-12-09
603199,九华旅游,旅游服务,安徽,2016-12-09
603198,迎驾贡酒,白酒,安徽,2016-12-09
603188,亚邦股份,染料涂料,江苏,2016-12-09
600007,中国国贸,园区开发,北京,2016-12-09
600008,首创股份,环境保护,北京,2016-12-09
600009,上海机场,机场,上海,2016-12-09
600010,包钢股份,普钢,内蒙,2016-12-09
600011,华能国际,火力发电,北京,2016-12-09
600012,皖通高速,路桥,安徽,2016-12-09
600015,华夏银行,银行,北京,2016-12-09
600006,东风汽车,汽车整车,湖北,2016-12-09
603315,福鞍股份,机械基件,辽宁,2016-12-09
603306,华懋科技,汽车配件,福建,2016-12-09
603377,东方时尚,汽车服务,北京,2016-12-09
603520,司太立,化学制药,浙江,2016-12-09
603993,洛阳钼业,小金属,河南,2016-12-09
603996,中新科技,电脑设备,浙江,2016-12-09
603519,立霸股份,家用电器,江苏,2016-12-09
603508,思维列控,软件服务,河南,2016-12-09
603456,九洲药业,化学制药,浙江,2016-12-09
600005,武钢股份,普钢,湖北,2016-12-09
603398,邦宝益智,文教休闲,广东,2016-12-09
603318,派思股份,专用机械,辽宁,2016-12-09
603369,今世缘,白酒,江苏,2016-12-09
603368,柳州医药,医药商业,广西,2016-12-09
603636,南威软件,软件服务,福建,2016-12-09
603338,浙江鼎力,专用机械,浙江,2016-12-09
603366,日出东方,家用电器,江苏,2016-12-09
603328,依顿电子,元器件,广东,2016-12-09
603355,莱克电气,电气设备,江苏,2016-12-09
603997,继峰股份,汽车配件,浙江,2016-12-09
603333,明星电缆,电气设备,四川,2016-12-09
600645,中源协和,生物制药,天津,2016-12-12
300479,神思电子,软件服务,山东,2016-12-12
600654,中安消,软件服务,上海,2016-12-13
300149,量子高科,食品,广东,2016-12-14
300367,东方网力,电脑设备,北京,2016-12-14
2664,信质电机,电气设备,浙江,2016-12-15
2685,华东重机,工程机械,江苏,2016-12-16
600735,新华锦,商贸代理,山东,2016-12-16
600655,豫园商城,百货,上海,2016-12-19
2162,悦心健康,医疗保健,上海,2016-12-21
600173,卧龙地产,全国地产,浙江,2016-12-21
603111,康尼机电,运输设备,江苏,2016-12-23
603010,万盛股份,化工原料,浙江,2016-12-23
600485,信威集团,通信设备,北京,2016-12-23
600400,红豆股份,服饰,江苏,2016-12-28
600406,国电南瑞,软件服务,江苏,2016-12-28
716,黑芝麻,食品,广西,2016-12-30
2675,东诚药业,化学制药,山东,2016-12-30
600146,商赢环球,塑料,宁夏,2017-01-04
600556,慧球科技,软件服务,广西,2017-01-05
600143,金发科技,塑料,广东,2017-01-06
300467,迅游科技,互联网,四川,2017-01-06
7,全新好,酒店餐饮,深圳,2017-01-13
153,丰原药业,化学制药,安徽,2017-01-13
601113,华鼎股份,化纤,浙江,2017-01-16
935,四川双马,水泥,四川,2017-01-16
600239,云南城投,区域地产,云南,2017-01-17
673,当代东方,广告包装,山西,2017-01-17
600590,泰豪科技,电气设备,江西,2017-01-18
300469,信息发展,软件服务,上海,2017-01-18
300315,掌趣科技,互联网,北京,2017-01-18
